[2024-12-18 21:19:04.902] [DEBUG] - Using: n=10, m=5, k=3, t=8, -f=./.env
[2024-12-18 21:19:04.903] [INFO] - STQ spawned
[2024-12-18 21:19:04.903] [INFO] - MergeSort started
[2024-12-18 21:19:04.903] [INFO] - Task added: empty_task
[2024-12-18 21:19:04.903] [INFO] - Task added: empty_task
[2024-12-18 21:19:04.904] [INFO] - Task added: empty_task
[2024-12-18 21:19:04.904] [INFO] - Task added: empty_task
[2024-12-18 21:19:04.904] [INFO] - Task added: empty_task
[2024-12-18 21:19:04.904] [INFO] - Task added: empty_task
[2024-12-18 21:19:04.904] [INFO] - Task added: empty_task
[2024-12-18 21:19:04.904] [INFO] - Task added: empty_task
[2024-12-18 21:19:04.904] [INFO] - Task added: empty_task
[2024-12-18 21:19:04.904] [INFO] - Task added: empty_task
[2024-12-18 21:19:04.904] [INFO] - Task added: empty_task
[2024-12-18 21:19:04.904] [INFO] - Task added: empty_task
[2024-12-18 21:19:04.904] [INFO] - Task added: empty_task
[2024-12-18 21:19:04.904] [INFO] - Task added: empty_task
[2024-12-18 21:19:04.904] [INFO] - Task added: empty_task
[2024-12-18 21:19:04.904] [INFO] - Task added: empty_task
[2024-12-18 21:19:04.904] [INFO] - Task added: empty_task
[2024-12-18 21:19:04.904] [INFO] - Task added: empty_task
[2024-12-18 21:19:04.904] [INFO] - Task added: empty_task
[2024-12-18 21:19:04.904] [INFO] - Task added: empty_task
[2024-12-18 21:19:04.904] [INFO] - Task added: empty_task
[2024-12-18 21:19:04.904] [INFO] - Task added: empty_task
[2024-12-18 21:19:04.904] [INFO] - Task added: empty_task
[2024-12-18 21:19:04.904] [INFO] - Task added: empty_task
[2024-12-18 21:19:04.904] [INFO] - Task added: empty_task
[2024-12-18 21:19:04.904] [INFO] - Task added: empty_task
[2024-12-18 21:19:04.904] [INFO] - Task added: empty_task
[2024-12-18 21:19:04.904] [INFO] - Task added: empty_task
[2024-12-18 21:19:04.904] [INFO] - Task added: empty_task
[2024-12-18 21:19:04.905] [INFO] - Task added: empty_task
[2024-12-18 21:19:04.905] [INFO] - Task added: empty_task
[2024-12-18 21:19:04.905] [INFO] - Task added: empty_task
[2024-12-18 21:19:04.905] [INFO] - Task added: empty_task
[2024-12-18 21:19:04.905] [INFO] - Task added: empty_task
[2024-12-18 21:19:04.905] [INFO] - Task added: empty_task
[2024-12-18 21:19:04.905] [INFO] - Task added: empty_task
[2024-12-18 21:19:04.905] [INFO] - Task added: empty_task
[2024-12-18 21:19:04.905] [INFO] - Task added: empty_task
[2024-12-18 21:19:04.905] [INFO] - Task added: empty_task
[2024-12-18 21:19:04.905] [INFO] - Task added: empty_task
[2024-12-18 21:19:04.905] [INFO] - Task added: empty_task
[2024-12-18 21:19:04.905] [INFO] - Task added: empty_task
[2024-12-18 21:19:04.905] [INFO] - Task added: empty_task
[2024-12-18 21:19:04.905] [INFO] - Task added: empty_task
[2024-12-18 21:19:04.905] [INFO] - Task added: empty_task
[2024-12-18 21:19:04.905] [INFO] - Task added: empty_task
[2024-12-18 21:19:04.905] [INFO] - Task added: empty_task
[2024-12-18 21:19:04.905] [INFO] - Task added: empty_task
[2024-12-18 21:19:04.905] [INFO] - Task added: empty_task
[2024-12-18 21:19:04.905] [INFO] - Task added: empty_task
[2024-12-18 21:19:04.905] [INFO] - Task added: empty_task
[2024-12-18 21:19:04.905] [INFO] - Task added: empty_task
[2024-12-18 21:19:04.905] [INFO] - Task added: empty_task
[2024-12-18 21:19:04.905] [INFO] - Task added: empty_task
[2024-12-18 21:19:04.905] [INFO] - Task added: empty_task
[2024-12-18 21:19:04.905] [INFO] - Task added: empty_task
[2024-12-18 21:19:04.905] [INFO] - Task added: empty_task
[2024-12-18 21:19:04.905] [INFO] - Task added: empty_task
[2024-12-18 21:19:04.906] [INFO] - Task added: empty_task
[2024-12-18 21:19:04.906] [INFO] - Task added: empty_task
[2024-12-18 21:19:04.906] [INFO] - Task added: empty_task
[2024-12-18 21:19:04.906] [INFO] - Task added: empty_task
[2024-12-18 21:19:04.906] [INFO] - Task added: empty_task
[2024-12-18 21:19:04.906] [INFO] - Task added: empty_task
[2024-12-18 21:19:04.906] [INFO] - Task added: empty_task
[2024-12-18 21:19:04.906] [INFO] - Task added: empty_task
[2024-12-18 21:19:04.906] [INFO] - Task added: empty_task
[2024-12-18 21:19:04.906] [INFO] - Task added: empty_task
[2024-12-18 21:19:04.906] [INFO] - Task added: empty_task
[2024-12-18 21:19:04.906] [INFO] - Task added: empty_task
[2024-12-18 21:19:04.906] [INFO] - Task added: empty_task
